"Country","Year","CO2_Mt"
"Monaco",2005,0.0987138580269192
"Netherlands",2005,175.911937135536
"New Zealand",2005,36.4012909091384
"Norway",2005,43.3006361840595
"Poland",2005,318.387033243738
"Portugal",2005,69.3454768768787
"Romania",2005,99.286384847682
"Russian Federation",2005,1533.82139201132
"Slovakia",2005,41.9004600532131
"Slovenia",2005,16.693701533006
"Spain",2005,365.478374742517
"Sweden",2005,53.1917496275433
"Switzerland",2005,46.2899915639575
"Turkey",2005,259.790999615478
"Ukraine",2005,322.267951229982
"United Kingdom",2005,561.101508242486
"United States",2005,6103.29389863585
"Australia",2006,385.969335512356
"Austria",2006,76.6330825399675
"Belarus",2006,59.1284617708979
"Belgium",2006,121.537095708926
"Bulgaria",2006,51.688938573915
"Canada",2006,571.751482247666
"Croatia",2006,23.7338758190482
"Cyprus",2006,8.03621083077309
"Czech Republic",2006,126.95797653754
"Denmark",2006,60.6088648729208
"Estonia",2006,15.8430531308695
"European Union (15)",2006,3469.78286127162
"European Union (28)",2006,4274.36136112539
"Finland",2006,67.9432075722785
"France",2006,416.414049978852
"Germany",2006,873.246590920058
"Greece",2006,111.383527249368
"Hungary",2006,59.4783459225339
"Iceland",2006,3.02932084291759
"Ireland",2006,47.2271862404674
"Italy",2006,483.533583963743
"Japan",2006,1262.97073171653
"Latvia",2006,8.226477812249
"Liechtenstein",2006,0.234980936064317
"Lithuania",2006,14.3588814576742
"Luxembourg",2006,11.9683496905835
"Malta",2006,2.67100630638972
"Monaco",2006,0.0893357199207314
"Netherlands",2006,172.303556335769
"New Zealand",2006,36.3431716588748
"Norway",2006,43.6954795984378
"Poland",2006,331.30602514961
"Portugal",2006,64.7416513892057
"Romania",2006,103.978941492496
"Russian Federation",2006,1591.4593395457
"Slovakia",2006,41.5230067866187
"Slovenia",2006,16.8972246547544
"Spain",2006,356.712138771741
"Sweden",2006,53.1579420036125
"Switzerland",2006,45.9106861673141
"Turkey",2006,277.260920860205
"Ukraine",2006,338.97149116245
"United Kingdom",2006,561.128448662774
"United States",2006,6026.4939408469
"Australia",2007,393.918320543943
"Austria",2007,73.9800717416656
"Belarus",2007,58.2799968352698
"Belgium",2007,117.069440884146
"Bulgaria",2007,55.4658385707965
"Canada",2007,594.659042967168
"Croatia",2007,25.0183448280777
"Cyprus",2007,8.31085744533989
"Czech Republic",2007,127.237236339574
"Denmark",2007,55.8602512451234
"Estonia",2007,18.8734630351374
"European Union (15)",2007,3412.15075450429
"European Union (28)",2007,4223.51754002986
"Finland",2007,66.2432681802779
"France",2007,407.254457588578
"Germany",2007,848.54894100082
"Greece",2007,113.848648398782
"Hungary",2007,58.0121041239437
"Iceland",2007,3.28640514213235
"Ireland",2007,47.2136185809137
"Italy",2007,475.436363161758
"Japan",2007,1296.15464859435
"Latvia",2007,8.54272273688053
"Liechtenstein",2007,0.204587709653028
"Lithuania",2007,15.7215186170367
"Luxembourg",2007,11.3816249910961
"Malta",2007,2.75688976607704
"Monaco",2007,0.0921344152778429
"Netherlands",2007,172.406658083575
"New Zealand",2007,35.6475674597003
"Norway",2007,45.5336823380189
"Poland",2007,331.556563547065
"Portugal",2007,62.0180830530583
"Romania",2007,103.234978482886
"Russian Federation",2007,1588.25762859806
"Slovakia",2007,39.7241019453767
"Slovenia",2007,17.0342962827071
"Spain",2007,363.744011924906
"Sweden",2007,52.0271552393531
"Switzerland",2007,43.9305894529901
"Turkey",2007,308.648585768041
"Ukraine",2007,342.145224679957
"United Kingdom",2007,554.251605631689
"United States",2007,6116.44139463552
"Australia",2008,399.084150921738
"Austria",2008,73.8044841043049
"Belarus",2008,60.3287021074617
"Belgium",2008,119.452549127185
"Bulgaria",2008,53.7077678329384
"Canada",2008,576.574742314818
"Croatia",2008,23.7706950011449
"Cyprus",2008,8.47410348699266
"Czech Republic",2008,121.731453985661
"Denmark",2008,52.3329349283381
"Estonia",2008,17.3655531290102
"European Union (15)",2008,3333.39915226438
"European Union (28)",2008,4122.8657565182
"Finland",2008,57.993050344048
"France",2008,400.7203114626
"Germany",2008,851.111467397097
"Greece",2008,110.005376246687
"Hungary",2008,56.6995905856021
"Iceland",2008,3.60512782688253
"Ireland",2008,47.0057184873269
"Italy",2008,463.695604460503
"Japan",2008,1213.83168665182
"Latvia",2008,8.10634431594593
"Liechtenstein",2008,0.223345236650491
"Lithuania",2008,15.0792685898089
"Luxembourg",2008,11.2072024667241
"Malta",2008,2.71562306659993
"Monaco",2008,0.0900700427745809
"Netherlands",2008,175.171744661403
"New Zealand",2008,36.4733519269065
